Designator,Qty,Value,Footprint,LCSC Part #
"C1, C4",2,10u,0805_C,C15850
"C2, C3",2,20pF,0603_C,C1648
"C5, C7, C8, C9",4,1u,0603_C,C15849
"C6, C10, C11, C12, C13, C14, C15",7,100n,0603_C,C14663
D1,1,User LED,0603_LED,C72041
D2,1,TX LED,0603_LED,C72043
D3,1,RX LED,0603_LED,C84268
D4,1,Power LED,0603_LED,C2286
FB1,1,500mA,0805_FB,C21286
"FB2, FB3",2,500mA,0603_FB,C50069
J1,1,USB_B_Micro,105017-0001,C505111
J2,1,NRF24,NRF24L01,-
J3,1,DB25,DSUB-25_Female_Horizontal_P2.77x2.84mm_EdgePinOffset7.70mm_Housed_MountingHolesOffset9.12mm,C77838
"R1, R2",2,22r,0603_R,C23345
"R3, R6, R7, R8, R9",5,1k,0603_R,C21190
"R4, R5",2,10k,0603_R,C25804
"SW1, SW2",2,SW_Push,Alps_SKRK,C115357
U1,1,AMS1117-3.3,SOT-223-3_TabPin2,C6186
U2,1,ATmega32U4,QFN-44,C45874
Y1,1,16MHz,3225-4Pin,C13738
